GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mhh_income,geoid_o,visitor_flows,LST_basemodel,VF_basemodel,VF_DRDmodel,VF_baseErr,VF_DRDErr
25025120103,43,340186,131985.13,2829.998109,27,56,1,0,0,18,1,71.73042515,26.77004345,0,1642,78.9281,3.5323,210231,25025120103,99,280.9057391,280.9057391,164.26526,181.9057391,65.26525879
25025130406,44,1052304,246951.4589,4207.73241,62,32,0,0,0,4,1,46.81312051,46.46755526,0,5639,28.6044,35.9993,52417,25025130406,960,1414.025782,1414.025782,543.529,454.0257818,-416.4710083
25025130404,45,1601540,219440.8476,13358.34744,80,34,0,0,0,5,1,69.73026619,21.68326658,3.615354624,3073,59.5184,12.3983,104500,25025130404,955,1036.270673,1036.270673,809.4971,81.27067318,-145.5029297
25025160602,46,730924,236399.7897,18935.64644,107,30,0,0,0,8,3,20.01743057,77.96220734,0,5493,26.2698,9.5212,65051,25025160602,1000,1741.40197,1741.40197,1177.5583,741.4019701,177.5583496
25025170702,47,697331,282409.2016,15483.17514,84,73,2,1,0,12,11,17.5039442,82.40056464,0,7995,24.778,4.5403,44805,25025170702,2082,2005.748092,2005.748092,2181.9934,-76.25190845,99.9934082
25025010408,48,43381,26832.69351,865.3203855,7,4,0,0,0,4,0,1.137884873,98.86211513,0,1438,57.0932,2.7121,96250,25025010408,151,457.3145338,457.3145338,87.372925,306.3145338,-63.6270752
25025010701,49,202021,133652.2423,10693.41374,14,376,4,1,1,78,4,21.14860014,78.85139986,0,2543,77.1923,2.0842,181875,25025010701,282,199.0964351,199.0964351,318.16858,-82.90356487,36.1685791
25025160501,50,385601,193598.4917,5673.665885,37,32,0,0,0,5,3,3.22895547,96.77104453,0,6105,12.0066,4.6028,82148,25025160501,1349,1400.886623,1400.886623,1363.8912,51.88662312,14.89123535
25025110403,51,942866,276559.0542,10890.57454,80,13,0,0,0,0,0,51.65328367,48.34671633,0,4437,47.8251,20.5995,137454,25025110403,1052,1077.117214,1077.117214,1115.8171,25.11721379,63.81713867
25025040801,52,950452,333864.4234,12283.69687,38,68,1,1,0,7,3,1.167275508,53.39223515,0,4036,50.669,9.7374,126250,25025040801,668,229.6409792,229.6409792,711.3417,-438.3590208,43.3416748
25025071201,53,412277,204068.5092,14035.05256,38,128,1,2,0,15,0,0.281373101,97.36212718,0,3514,41.3204,16.8754,63333,25025071201,677,1072.748456,1072.748456,707.8249,395.7484564,30.82489014
25025120301,54,657613,296514.1383,11684.32602,67,83,2,0,0,13,4,27.95239145,72.04760855,0,5120,44.4141,12.4414,123625,25025120301,1055,1076.270265,1076.270265,1064.7781,21.27026484,9.778076172
25025120105,55,1839766,312799.7562,13671.79743,93,39,0,0,0,0,1,82.49602719,13.60511037,0,2492,76.0835,4.8154,201726,25025120105,155,936.3899568,936.3899568,382.02295,781.3899568,227.0229492
25025140105,56,1009264,238741.0305,9522.328267,58,31,0,0,0,5,1,56.30426033,43.62962111,0,3592,31.4866,30.1503,90500,25025140105,651,1121.206463,1121.206463,671.5032,470.2064628,20.50317383
25025981300,57,6986630,876281.3822,49223.26727,76,186,1,32,0,77,5,0.630772176,58.98792588,0,79,68.3544,5.0633,0,25025981300,252,250.3497277,250.3497277,221.4425,-1.650272305,-30.55749512
25025010300,58,507208,354648.5257,11703.44808,34,89,0,0,0,21,0,15.63536544,84.15875558,0,5186,69.1091,6.344,90333,25025010300,229,570.6514663,570.6514663,204.75085,341.6514663,-24.24914551
25025981100,59,2499660,58530.61812,19591.21659,20,17,0,0,0,0,0,56.79821278,6.190766821,0,97,27.8351,19.5876,0,25025981100,533,1184.808098,1184.808098,396.54944,651.8080984,-136.4505615
25025981800,60,714668,3496.336328,18750.62672,45,15,0,0,0,0,0,54.06343443,11.61896625,0,23,65.2174,8.6957,0,25025981800,201,1298.651768,1298.651768,98.681885,1097.651768,-102.3181152
25025981700,61,313765,12427.07908,4894.595226,15,15,0,0,0,1,0,69.96298255,21.04706504,0,4,25,0,0,25025981700,11496,1892.209907,1892.209907,10991.482,-9603.790093,-504.5175781
25025981501,62,897746,17677.58485,36479.95446,45,17,0,0,0,2,0,12.95311611,15.31049994,0,13,38.4615,0,0,25025981501,796,931.4202077,931.4202077,841.5366,135.4202077,45.53662109
25025990101,63,0,160.709394,10155.59041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25025990101,153,799.5955731,799.5955731,200.08398,646.5955731,47.08398438
25025981201,64,799562,44470.49652,17890.19413,53,16,0,0,0,3,0,1.954446263,12.73049645,5.755591926,0,0,0,0,25025981201,24,801.0214572,801.0214572,13.102051,777.0214572,-10.89794922
25025010600,65,339678,394456.8066,18324.29995,45,390,4,3,0,61,3,0,96.48524143,0.648353523,3529,70.0482,4.2222,210391,25025010600,754,297.6629497,297.6629497,1056.3689,-456.3370503,302.3688965
25025070600,66,133036,79773.66295,3491.976668,15,87,0,0,0,9,0,17.63295554,82.36704446,0,2287,78.9244,4.3288,247250,25025070600,52,-117.137743,-117.137743,-116.76416,-169.137743,-168.7641602
25025120500,67,213706,99336.47204,3428.32753,25,47,0,0,0,9,4,17.08146335,82.91853665,0,2423,38.0933,10.9369,89345,25025120500,409,812.2562361,812.2562361,804.42596,403.2562361,395.4259644
25025160200,68,222150,134309.1757,7262.431468,37,104,3,0,0,9,3,0,99.85643435,0,4154,9.4608,3.6351,50676,25025160200,859,1782.796831,1782.796831,806.8801,923.7968307,-52.11987305
25025110301,69,817931,212718.9582,7895.814225,74,59,0,0,0,8,4,42.98320221,45.73676377,0,2500,40.88,24.28,88575,25025110301,429,1043.776095,1043.776095,523.1466,614.7760949,94.14660645
25025100603,70,872496,209393.9016,19995.31928,70,73,5,1,0,6,3,6.900381477,56.50924719,0.615674344,2172,64.0424,10.4052,93684,25025100603,285,703.1772266,703.1772266,302.71777,418.1772266,17.71777344
25025010103,71,288105,171893.8875,10649.75294,19,66,1,2,0,22,2,5.806581463,90.93287713,0,4697,56.6532,7.4941,222386,25025010103,32,-107.000581,-107.000581,-86.77417,-139.000581,-118.7741699
25025070402,72,247190,136088.5067,14142.06942,23,58,1,1,0,16,4,4.623327857,95.37667214,0,3561,41.3648,10.5027,33276,25025070402,486,944.4778039,944.4778039,515.4436,458.4778039,29.44360352
