GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mmh_income,geoid_o,visitor_flows
4013422512,354,2587097,553382.3616,16434.41156,125,18,0,1,0,0,0,10.32346956,84.53565244,2.884554613,4984,68.1781701,2.3073836,98004,4013422512,5505
4013422514,355,2464735,639522.1092,25115.61968,119,64,0,0,0,5,2,4.720325977,81.53278298,9.698629414,4933,62.3150213,4.9462802,67366,4013422514,4736
4013940700,356,383469983,0,0,0,0,0,0,0,0,0,0.102184324,0,17.55864296,88,0,0,46071,4013940700,12
4013422607,357,2585832,1025814.134,15332.99988,147,24,0,0,0,1,0,5.455324297,72.79645215,10.50370408,4499,85.9302067,2.8673038,63346,4013422607,1854
4013422001,358,1268790,367223.1587,23147.03051,66,100,0,0,0,6,2,1.967643201,95.82036575,2.21199105,3994,14.1962944,2.0781172,41730,4013422001,1752
4013422002,359,1292545,402285.7723,13483.65313,61,22,0,1,0,1,0,1.924431475,97.59508956,0.48047897,3970,23.929471,3.2997481,40175,4013422002,2066
4013422615,360,5141346,1059736.663,30618.18885,164,107,0,0,0,13,2,2.596851879,73.24476737,16.8482079,6986,68.0217578,3.7789865,76897,4013422615,7599
4013422617,361,2636303,727147.1445,18658.20052,156,53,0,0,0,6,2,1.895370588,88.35152311,4.774351796,6141,68.0182381,2.4100309,97143,4013422617,5851
4013422618,362,2462192,636629.6978,18768.72682,147,19,0,0,0,0,0,0.125922882,58.84310009,21.30482616,2984,96.1796247,0.3351206,56250,4013422618,512
4013523002,363,2646093,745346.6329,24776.39578,163,167,1,1,0,26,6,3.737579459,91.15102142,1.649077331,5970,27.4539364,3.919598,58953,4013523002,3342
4013523005,364,2593315,751025.0873,16156.0172,132,167,0,0,0,26,1,6.529989534,90.09469052,1.124686361,5041,58.6193216,4.0071414,95760,4013523005,4749
4013082204,365,9542949,1132757.534,38131.05391,161,15,1,0,0,1,0,10.62056623,23.22862481,18.57907446,7339,11.3775719,12.0043603,68750,4013082204,5591
4013082206,366,6829497,802098.1043,17994.6827,120,40,1,0,0,5,2,1.19108527,37.28273811,21.97172189,4900,10.4897959,10.5510204,85428,4013082206,3286
4013082207,367,10796517,779254.7506,42199.95333,144,18,1,0,0,3,1,18.80527695,13.02669017,26.09329314,3436,16.9091967,4.6274738,69306,4013082207,3480
4013082209,368,954053,113879.5476,5869.610766,55,14,1,0,0,5,2,0.877192982,91.86446508,4.626762986,2864,6.6689944,1.9553073,57961,4013082209,1652
4013082210,369,2194254,619151.2947,22327.50779,115,19,0,1,0,0,0,8.706301492,74.50011133,6.429154607,5348,18.0815258,10.2655198,63416,4013082210,4405
4013082211,370,4149443,956458.3086,26879.23672,173,55,0,0,0,10,2,3.609568897,58.8902345,16.464038,7701,20.7635372,9.7389949,96628,4013082211,6663
4013092311,371,647197,205764.7892,5802.290755,23,48,0,0,0,10,1,0,96.14084649,3.859153509,3313,31.7838817,16.2390583,40393,4013092311,2411
4013092312,372,1832032,482624.1425,16076.30366,65,44,1,0,0,5,2,7.259398965,69.91085885,7.980001066,6380,44.4670846,10.2664577,56250,4013092312,4259
4013616400,373,3039177,725856.3928,41917.7291,94,191,1,2,0,28,1,4.816575286,92.1093574,2.462472773,6300,55.8571429,2.2222222,95195,4013616400,5094
4013616600,374,2537641,768094.0111,16960.17117,162,26,0,0,0,0,1,1.30740736,92.61571196,4.445185024,5698,65.1456652,3.1414531,73875,4013616600,4745
4013616700,375,2475486,486601.4396,10796.14527,139,25,1,0,0,0,1,1.699977632,75.60821568,13.04324943,5315,68.2596425,3.1796802,84602,4013616700,3492
4013616800,376,2469400,479436.1351,14846.78027,140,14,0,0,0,0,0,2.57574561,90.41433047,5.164652924,5865,66.683717,2.2676897,77857,4013616800,5387
4013617400,377,6866364,1213685.934,37244.71272,307,44,0,0,0,1,1,2.482594877,59.64612736,19.81109766,7573,82.9261851,2.6013469,61316,4013617400,4850
4013617500,378,3271777,991118.8043,19415.64362,164,93,0,0,0,12,1,5.090800834,82.03532797,2.498759552,3977,86.0699019,2.1121448,72074,4013617500,1791
4013617600,379,2475563,712662.5796,18962.8307,152,188,2,0,0,23,1,1.005322294,87.99526907,4.862343123,6285,72.4105012,3.4367542,80874,4013617600,5220
4013615100,380,2254775,411374.5716,20864.77827,113,6,0,0,0,0,0,3.337856957,86.03643923,0,4714,74.1620704,2.2698345,146250,4013615100,3559
4013616100,381,1390906,144266.4144,18266.67432,94,2,0,0,0,0,0,5.368044349,90.6275583,0.446752275,3905,69.6798976,3.0729834,81379,4013616100,3732
