GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mhh_income,geoid_o,visitor_flows
6075047701,135,364728,220123.0167,5914.091851,29,65,2,0,1,16,6,2.165237327,97.83476267,0,4435,37.4972,1.8038,116932,6075047701,1154
6075060100,136,6126570,513475.556,73401.26745,290,139,1,1,0,12,1,13.31129692,4.591400653,0.679800433,3690,67.2087,2.3577,223750,6075060100,797
6075047902,137,410921,219715.9268,4705.843405,49,15,0,1,0,1,1,12.64229175,87.35770825,0,3691,44.7304,1.2463,160227,6075047902,776
6075020300,138,286010,180699.315,6630.89545,58,215,3,0,0,49,3,0,100,0,3624,58.6369,1.9592,182083,6075020300,221
6075020900,139,312680,224787.0897,7873.220167,22,287,5,0,0,76,13,0,100,0,4296,33.5894,2.3045,90577,6075020900,488
6075021000,140,311804,206378.3846,6007.241874,31,110,2,0,2,23,3,0,100,0,4213,57.0615,1.8039,184167,6075021000,348
6075021100,141,424228,242195.3988,1386.913129,27,113,1,0,0,14,3,7.446342532,92.55365747,0,4111,67.818,1.4108,250000,6075021100,236
6075021200,142,345793,186181.2566,2078.781798,30,53,0,1,0,14,2,8.850667383,91.14933262,0,3015,67.529,1.0282,215536,6075021200,328
6075021300,143,312668,158334.78,6463.158397,27,62,0,0,0,7,0,7.828333002,92.171667,0,2652,65.5354,0.9804,190556,6075021300,274
6075021400,144,354535,203748.7558,6011.116372,33,170,1,0,0,30,2,3.344978166,96.65502183,0,3404,67.3325,1.1163,208098,6075021400,209
6075021500,145,474360,271655.4429,2373.801031,39,96,0,0,0,17,4,2.488569562,97.51143044,0,5237,58.5832,1.2603,250000,6075021500,376
6075021600,146,597918,267966.0511,4967.072136,49,10,0,0,0,0,0,21.71481827,76.96489593,0,4403,54.1903,4.2471,206100,6075021600,306
6075021700,147,1236558,344724.7718,12155.92079,87,70,0,0,0,4,1,39.55719188,56.39792622,0,4222,51.1369,7.4846,185714,6075021700,553
6075021800,148,504786,257026.2091,4598.66031,58,71,1,0,0,11,3,6.689168457,93.31083154,0,4091,63.4075,1.8088,214375,6075021800,404
6075022600,149,1280042,550108.6617,15447.01694,65,253,14,3,0,35,10,0.429806671,68.19936287,0.429806671,5001,48.0504,3.8192,245694,6075022600,678
6075022802,150,291253,143532.2176,5691.832373,24,56,0,0,0,5,3,8.659158521,91.34084148,0,1975,37.1646,4.3038,77308,6075022802,290
6075022902,151,161833,109177.0012,4152.806771,13,64,3,0,1,17,4,0,100,0,2283,33.3771,2.3215,122240,6075022902,330
6075022903,152,311266,157921.1677,8743.080371,28,74,4,0,0,19,5,3.858809453,91.15564862,0,3007,37.2797,2.2614,84423,6075022903,330
6075023001,153,666244,315174.873,15177.35924,69,95,1,0,0,33,2,2.376412594,94.2054597,0,5412,5.4324,9.8485,92563,6075023001,1232
6075023003,154,409147,201789.0504,1140.995916,43,23,1,0,0,4,0,3.854308648,94.5176435,0,4143,10.4031,14.9891,119500,6075023003,1040
6075017700,155,904078,592528.5308,37846.31001,109,375,4,1,1,91,6,0,99.23624906,0,2841,36.5716,8.6941,122708,6075017700,556
