LST,longitude,latitude,lon_id,lat_id,tree,shrubland,grassland,builtup,id,barren,water,slope,aspect,elevation,poi_num,bldg_area,nodes_num,aspect_class,Southwest,East,Northwest,North,West,South,Northeast,Southeast
42.31441004,-71.1118,42.3922,17,2,22.09446279,0.0,0.0,41.17387238,67,0.248401,0.0,0.74650651,343.98355103,16.39082718,21.0,88898.11232510781,22.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42.92794463,-71.1070,42.3922,18,2,14.94123525,0.0,1.42131524,44.73552168,68,2.29176083,0.0,0.76083583,356.48287964,13.50260067,24.0,77539.94100241689,24.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46.28785829,-71.1021,42.3922,19,2,17.33121887,0.0,0.60913489,44.08643028,69,1.48995213,0.0,1.88754082,230.18641663,25.36918449,14.0,79866.82292399471,11.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44.70873305,-71.0973,42.3922,20,2,19.44273952,0.0,0.02538062,43.69013515,70,0.35848088,0.0,1.59671783,157.30863953,28.22380257,11.0,77139.10591594853,27.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47.17483448,-71.0924,42.3922,21,2,11.03521345,0.0,0.0324955,51.87923554,71,0.56979168,0.0,1.95152545,85.02207947,11.31860256,41.0,82213.24793245437,17.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0766285,-71.0876,42.3922,22,2,5.97381765,0.0,16.45158605,39.57103338,72,1.52029909,0.0,0.33685243,163.42242432,2.76408172,15.0,47690.728182172825,7.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43.0937186,-71.0827,42.3922,23,2,0.07614189,0.0,0.3807093,58.05998264,73,4.97452172,0.0,0.2426952,346.04846191,2.80049992,15.0,139168.71202762448,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41.14202918,-71.0778,42.3922,24,2,2.88232715,0.0,6.86929879,38.41463005,74,12.70407702,1.09818554,0.5403198,64.92134094,3.34200478,37.0,116887.13262033096,6.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
27.0802949,-71.0730,42.3922,25,2,0.83265841,0.0,1.69338725,7.28698051,75,6.67689358,46.55741213,0.61818624,223.19744873,0.50781155,1.0,11473.107446289585,10.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31.32034871,-71.0681,42.3922,26,2,0.78654942,0.0,3.59839345,44.15262538,76,7.33074124,7.20412868,0.40846419,244.44844055,2.69861221,2.0,123354.65156120688,1.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34.74007772,-71.0633,42.3922,27,2,0.0,0.0,0.0,59.37406821,77,4.14266796,0.0,0.14960037,189.46484375,3.45443726,1.0,78073.89448259573,0.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24.35271494,-71.0584,42.3922,28,2,0.0,0.0,0.0,59.77841905,78,3.73831712,0.0,0.27454323,215.98713684,3.84682679,1.0,116480.47612393009,2.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25.39350203,-71.0536,42.3922,29,2,0.03993562,0.0,0.0,55.77294446,79,1.8045721,5.89928398,0.45754817,112.46663666,3.02893305,7.0,105981.37983393611,1.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.34986018,-71.0487,42.3922,30,2,9.8380684,0.0,2.80768577,29.72470088,80,3.75502935,16.04607851,1.75648355,353.87863159,3.91190672,8.0,61529.20000920502,16.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33.04986683,-71.0439,42.3922,31,2,7.3062123,0.0,0.0,55.31791967,81,0.8926042,0.0,1.59083164,7.48607588,2.82467794,14.0,119907.47644300631,19.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39.50992463,-71.0390,42.3922,32,2,0.85169664,0.0,0.6598963,60.88180551,82,1.12333771,0.0,0.51175052,324.26696777,3.14350438,71.0,110726.40013147576,13.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46.14771947,-71.0342,42.3922,33,2,6.5777938,0.0,0.50761236,55.77143359,83,0.65989642,0.0,1.41409934,299.98394775,9.20445156,95.0,112431.01677538645,6.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46.95949922,-71.0293,42.3922,34,2,8.59725679,0.0,0.07614189,54.41186684,84,0.43147065,0.0,1.04979908,17.23286819,15.09499931,5.0,101233.64580546212,1.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45.50000468,-71.0245,42.3922,35,2,3.37747824,0.0,1.09136658,56.68610773,85,2.36178361,0.0,0.5384227,69.60009766,2.64538193,8.0,80002.35413878005,0.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.45625787,-71.0196,42.3922,36,2,0.0,0.0,0.0,45.3518454,86,5.48847473,12.67641604,0.19067211,149.484375,0.65692282,0.0,16960.69944137657,7.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
37.95130751,-71.0148,42.3922,37,2,4.64040085,0.0,1.17689124,29.57398665,87,2.37136527,25.57642785,1.41830504,287.54006958,1.45379174,2.0,30640.534814222832,1.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39.32364254,-71.0099,42.3922,38,2,22.63234579,0.0,6.1402354,31.81140623,88,2.5774199,0.0,1.69951761,359.54907227,18.74412918,1.0,48447.057151385525,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39.7098788,-71.0051,42.3922,39,2,16.57649204,0.0,0.96626584,40.42423258,89,5.06375416,0.0,3.0029428,28.7094059,12.25931168,6.0,45791.13881923495,1.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41.3334383,-71.0002,42.3922,40,2,7.42809694,0.0,22.44784551,23.24908102,90,8.85053789,0.0,1.1291492,23.6528244,4.22329617,1.0,52012.25934524512,21.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30.89993225,-70.9954,42.3922,41,2,20.49682111,0.0,12.2888232,8.36834951,91,7.32166023,3.90799468,0.11298685,76.98317719,1.79348576,4.0,966.6846875233025,23.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.32547574,-70.9905,42.3922,42,2,3.41094641,0.0,21.48742228,1.80518354,92,0.97702191,18.03338536,0.35089618,226.095047,1.69761622,0.0,595.345446188255,3.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32.14580054,-70.9857,42.3922,43,2,5.94494065,0.0,1.52612238,22.13196093,93,1.30785624,13.58803521,1.80228615,186.72822571,11.13823318,1.0,19051.059828457925,0.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
24.25359236,-70.9808,42.3922,44,2,0.27754118,0.0,3.28047403,11.74303013,94,4.51197655,33.56194339,0.79611385,58.002388,-0.50129527,3.0,5436.116027111666,0.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20.38439372,-70.9760,42.3922,45,2,0.0,0.0,0.0,0.0,95,0.0,63.51673617,0.36862981,350.7869873,0.0,0.0,1270.143975086146,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20.26989005,-70.9711,42.3922,46,2,0.0,0.0,0.0,0.0,96,0.0,63.51673617,0.3251633,0.0,0.0,0.0,3557.2027675717045,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18.50790074,-70.9663,42.3922,47,2,0.0,0.0,0.0,0.0,97,0.0,63.51673617,0.0077463,180.0,0.0,0.0,0.0,0.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
