bldg_area,street_len,nodes_num,id,poi_num,tree,shrubland,grassland,builtup,barren,water,slope,aspect,elevation,LST,lon_id,lat_id,LST_class,East,North,Northeast,Northwest,South,Southeast,Southwest,West
0,0,0,140,0,0,0,0,0,69.16784658,0,2.58463788,Northeast,1170.891724,58.07490026,3,8,2,0,0,1,0,0,0,0,0
0,0,0,141,0,0,0,0,0,69.17125722,0,2.644876,Northeast,1140.981079,57.66473786,3,9,1,0,0,1,0,0,0,0,0
0,0,0,142,0,0,0,0,0,69.17466798,0,2.40050435,Northeast,1137.79126,57.49383686,3,10,1,0,0,1,0,0,0,0,0
0,0,0,143,0,0,0,0,0,69.17807841,0,2.39466,Northeast,1118.6875,57.8253848,3,11,1,0,0,1,0,0,0,0,0
0,0,0,144,0,0,0.07603622,0,0,69.10545246,0,2.4279902,Northeast,1095.136841,57.65106578,3,12,1,0,0,1,0,0,0,0,0
0,3348.265095,0,145,0,0,0,0,0.12672696,69.05817209,0,2.45239115,Northeast,1081.575317,57.48700082,3,13,1,0,0,1,0,0,0,0,0
0,8104.082001,2,146,0,0,0.02534537,0,1.25459249,67.90837113,0,2.49241138,Northeast,1060.879761,57.14861684,3,14,1,0,0,1,0,0,0,0,0
0,2431.415169,0,147,0,0,0,0,1.40666944,67.78504925,0,2.66587639,Northeast,1063.719604,57.05291228,3,15,1,0,0,1,0,0,0,0,0
0,2431.415169,0,148,0,0,0.02534532,0,0.76035961,68.40942362,0,2.48637795,Northeast,1072.310791,56.5948976,3,16,1,0,0,1,0,0,0,0,0
0,6370.645612,2,149,0,0,0.11027556,0,0.70621903,68.3820436,0,2.34500146,Northeast,1094.869141,56.23258748,3,17,0,0,0,1,0,0,0,0,0
0,3572.369642,2,150,0,0.25345282,3.33811583,0,3.16081607,62.44956273,0,2.31884813,Northeast,1135.357056,56.41716056,3,18,0,0,0,1,0,0,0,0,0
0,3510.825753,1,151,0,0,6.66639491,0.07603575,2.19368344,60.26924275,0,2.54877138,Northeast,1176.533325,56.74187246,3,19,1,0,0,1,0,0,0,0,0
0,5303.581589,1,152,0,0,11.32605878,0.3801784,1.91958896,55.58293958,0,2.76300716,Northeast,1188.022705,57.00506,3,20,1,0,0,1,0,0,0,0,0
0,1781.890825,0,153,0,0,2.91258428,0.91242766,3.04566847,62.34149416,0,2.44908237,Northeast,1062.327148,57.15203486,3,21,1,0,0,1,0,0,0,0,0
0,8863.993694,4,154,0,0,15.72563619,0.12672589,1.75187242,51.6113491,0,3.17754483,Northeast,1032.281006,57.20330516,3,22,1,0,0,1,0,0,0,0,0
0,0,0,155,0,0,36.30517062,6.82607662,0,26.08774507,0,2.14673305,Northeast,999.6368408,56.82732296,3,23,1,0,0,1,0,0,0,0,0
0,3569.800472,0,156,0,0,28.18989587,5.32344473,0,35.70906011,0,2.72150159,East,981.2075806,56.7487085,3,24,1,1,0,0,0,0,0,0,0
0,6034.253905,4,157,0,0,34.14366756,10.64222238,0,24.43991905,0,2.29926562,East,974.0112915,57.95185154,3,25,1,1,0,0,0,0,0,0,0
0,0,0,158,0,0,47.91059586,3.1934506,0,18.12517059,0,2.9393363,Northwest,962.3163452,55.78140884,3,26,0,0,0,0,1,0,0,0,0
0,0,0,159,0,0,54.23119831,12.13438299,0,2.86704366,0,6.78449821,North,953.7155762,55.74722864,3,27,0,0,1,0,0,0,0,0,0
0,0,0,160,0,0,33.92225637,11.35066111,0,23.96311561,0,17.36402702,Northwest,949.059082,53.40246692,3,28,0,0,0,0,1,0,0,0,0
0,0,0,161,0,0,44.08878342,6.86706139,0,18.28359579,0,17.63920212,Northwest,939.4326782,49.08550766,3,29,0,0,0,0,1,0,0,0,0
0,0,0,162,0,0,45.84466294,14.79900118,0,8.59918406,0,18.65780258,Northwest,929.1416626,47.61917708,3,30,0,0,0,0,1,0,0,0,0
0,0,0,163,0,0,16.09908231,8.87487884,0,44.27229438,0,21.17702484,West,924.1831665,46.10499422,3,31,0,0,0,0,0,0,0,0,1
0,0,0,164,0,0,5.7095942,1.62592711,0,61.91414158,0,16.41909218,Northwest,914.1296387,45.61621736,3,32,0,0,0,0,1,0,0,0,0
0,0,0,165,0,0,10.3072108,3.15407899,0,55.63971027,0,27.00197411,West,907.9107666,44.65575374,3,33,0,0,0,0,0,0,0,0,1
0,0,0,166,0,0,37.8442786,1.58380839,0,29.82838951,0,7.36872149,South,898.2356567,47.42434994,3,34,0,0,0,0,0,1,0,0,0
0,3924.646544,1,167,0,0,59.45505376,8.70771338,0,1.09711641,0,8.92135715,East,887.9398804,54.8004371,3,35,0,1,0,0,0,0,0,0,0
0,5736.883072,2,168,0,0,57.74062353,3.22721402,0,8.29545256,0,11.24170971,East,882.4667358,54.54066758,3,36,0,1,0,0,0,0,0,0,0
0,0,0,169,0,0,59.98515022,5.37319057,0,3.90835559,0,22.35450554,Northeast,871.5414429,54.61928204,3,37,0,0,0,1,0,0,0,0,0
